Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Timestamp
0,56.666666666666664,-303.3333333333333,-73.0,-0.162841796875,-0.6150716145833334,-0.821044921875,-36.30835950732618,9.020860270532877,1,-2232.3333333333335,-494.0,-342.6666666666667,1.0349934895833333,-0.21809895833333334,0.3936360677083333,-11.142257480103547,-66.50001070495064,2,-452.0,300.5,26.0,-0.5875244140625,-0.3641357421875,-0.7535400390625,-20.86238429037855,35.07007359808823,3,63.5,192.0,-48.0,0.3011474609375,0.43115234375,-0.75927734375,27.82703921023953,-19.027336634692496,2021-03-23 09:15:03.858099
0,50.0,-296.5,-65.5,-0.1788330078125,-0.617431640625,-0.8243408203125,-36.20184214903549,9.849451980531942,1,-2224.0,-464.0,-353.5,1.036865234375,-0.21826171875,0.4002685546875,-11.110155143560146,-66.2647457023898,2,-456.5,300.5,27.5,-0.58837890625,-0.3648681640625,-0.7362060546875,-21.163675580069658,35.608298637895615,3,60.5,209.0,-26.0,0.296875,0.4317626953125,-0.7666015625,27.708837394713825,-18.644501741361644,2021-03-23 09:15:04.360254
0,55.5,-295.0,-77.5,-0.1668701171875,-0.6138916015625,-0.830322265625,-35.93464098952429,9.18334533904542,1,-2196.0,-484.5,-345.0,1.0372314453125,-0.21142578125,0.396240234375,-10.781853866670202,-66.58501442911702,2,-449.5,311.5,30.0,-0.5869140625,-0.3646240234375,-0.7440185546875,-21.045608600668057,35.31275571755331,3,50.333333333333336,221.66666666666666,61.333333333333336,0.289794921875,0.43017578125,-0.7578938802083334,27.931885868588083,-18.39517389073973,2021-03-23 09:15:04.865464
0,51.5,-310.0,-85.5,-0.185302734375,-0.6163330078125,-0.8338623046875,-35.81255572619726,10.132283409703543,1,-2199.5,-484.5,-344.0,1.0374755859375,-0.2098388671875,0.4000244140625,-10.687132519247132,-66.46830631417203,2,-450.3333333333333,323.3333333333333,25.333333333333332,-0.5897623697916666,-0.364990234375,-0.7390950520833334,-21.107587195913535,35.58401029335595,3,56.5,210.0,-22.0,0.2933349609375,0.4356689453125,-0.7579345703125,28.193106701447093,-18.547623154726818,2021-03-23 09:15:05.370325
0,56.5,-303.0,-78.0,-0.1805419921875,-0.614990234375,-0.826171875,-36.024804067894785,9.942595582831535,1,-2215.0,-489.6666666666667,-342.3333333333333,1.0369466145833333,-0.21842447916666666,0.4013671875,-11.11367907888858,-66.21801336217953,2,-447.5,322.0,11.0,-0.59130859375,-0.3636474609375,-0.7425537109375,-20.9617722837645,35.57160260144508,3,48.5,187.5,-62.5,0.2899169921875,0.4315185546875,-0.760986328125,27.91952917936679,-18.33539589121464,2021-03-23 09:15:05.873491
0,52.0,-306.0,-64.66666666666667,-0.1728515625,-0.6138509114583334,-0.8253580729166666,-36.052832825691645,9.539146074562492,1,-2234.5,-480.5,-336.0,1.0350341796875,-0.2105712890625,0.40087890625,-10.741594326868428,-66.37042917798665,2,-434.0,325.0,30.0,-0.5863037109375,-0.3646240234375,-0.741943359375,-21.085681485593337,35.3454990531198,3,49.5,207.5,-43.0,0.2928466796875,0.4296875,-0.754150390625,27.97405396225799,-18.64335048806044,2021-03-23 09:15:06.374286
0,63.0,-291.0,-79.0,-0.17919921875,-0.6123046875,-0.8154296875,-36.25529402703363,9.967299264230755,1,-2207.0,-494.0,-360.5,1.0340576171875,-0.212158203125,0.3917236328125,-10.860012944335264,-66.69106773057048,2,-447.0,292.5,38.5,-0.59130859375,-0.3612060546875,-0.740478515625,-20.865850011555764,35.6672975401647,3,52.0,215.0,-39.5,0.291015625,0.430419921875,-0.759765625,27.880580791312177,-18.431169403026637,2021-03-23 09:15:06.877354
0,52.0,-304.5,-76.5,-0.1798095703125,-0.6197509765625,-0.8294677734375,-36.13663616848852,9.850061520489593,1,-2238.5,-617.0,-331.0,1.0382080078125,-0.2255859375,0.4019775390625,-11.454844575785451,-66.05701592104131,2,-437.0,291.5,49.5,-0.5845947265625,-0.3621826171875,-0.7364501953125,-21.06647739239721,35.462314190509645,3,48.333333333333336,208.33333333333334,-29.666666666666668,0.292236328125,0.4286295572916667,-0.7621256510416666,27.70419442263375,-18.479478121538154,2021-03-23 09:15:07.381943
0,68.0,-286.0,-80.0,-0.164794921875,-0.6163330078125,-0.8330078125,-35.972016870456656,9.037118620925861,1,-2199.5,-609.5,-361.5,1.02734375,-0.2237548828125,0.39892578125,-11.472355725819247,-65.99807589892399,2,-447.0,319.5,32.0,-0.5908203125,-0.366455078125,-0.7542724609375,-20.93009939106077,35.16713594681755,3,45.0,192.0,-53.0,0.29248046875,0.423828125,-0.78076171875,26.946122357016822,-18.22304329846156,2021-03-23 09:15:07.884160
0,47.666666666666664,-297.6666666666667,-86.0,-0.172119140625,-0.6163736979166666,-0.826416015625,-36.13888450090233,9.478098408628334,1,-2251.5,-483.5,-336.5,1.0350341796875,-0.218017578125,0.40185546875,-11.109192079607798,-66.16836862422154,2,-435.0,309.0,38.333333333333336,-0.5869140625,-0.3627115885416667,-0.7477213541666666,-20.886355158913435,35.23125608147652,3,51.333333333333336,198.0,-37.333333333333336,0.2892252604166667,0.432861328125,-0.7613118489583334,27.990929138748253,-18.27504949147609,2021-03-23 09:15:08.386688
